id;id_duong_su;ten_duong_su;id_loai_ds;dia_chi;trang_thai;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_tinh_trang;id_master;id_don_vi;str_search;so_giay_to;id_loai_ngan_chan
1;4100;candidate;30761;overconfidently recapitulation;3444;2024-07-22;7882;27212;11787;when across;14744;barren pfft founder;muss lest orange;30673
2;4416;successfully;12098;gosh until because;7980;2024-07-22;31814;13896;1043;after jabber;12685;till mincemeat yowza;as;19809
3;17102;ah procreate;15630;unto timely nautical;32174;2024-07-22;29085;21416;20604;relish sad;6093;longingly scoot;vice dirty brainwash;17823
4;15289;beset;7792;hence to;7114;2024-07-22;7101;29640;9821;unnaturally watery;371;abaft triumphantly whoa;mmm klutzy ah;32538
5;16415;cruelly;20601;beneath punctually;8906;2024-07-22;32337;32489;5238;lively gesture lest;19519;screech candid;minus and;6991
6;29418;excellent;27056;following;29283;2024-07-22;8348;30339;23172;lightly behind;16073;what;current;27698
7;27602;drat educate;2492;owlishly arc danger;15;2024-07-22;13;17351;29161;chance decentralize boysenberry;1896;gadzooks though;yahoo oncology pfft;29687
8;17263;ouch up demanding;31106;gosh diligent gleeful;32354;2024-07-22;4649;4383;19731;address hungrily;27165;elementary except;amongst meanwhile;18458
9;5568;yowza;10852;while;2696;2024-07-22;3378;14363;5321;black-and-white;7693;insidious but boring;vigilant topic stingy;22374
10;25541;oof;14809;feisty dismal functional;10247;2024-07-22;27895;29629;28492;hairy seemingly openly;6024;but;skunk;20287
