id;id_duong_su;ten_duong_su;dia_chi;trang_thai;thong_tin_ds;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_master;id_don_vi;str_search;so_giay_to;id_loai_ngan_chan;sync_status
1;13708;repeatedly once around;bachelor ack underneath;3;unwilling ha;2024-07-22;28835;22996;hmph belief aw;17457;uh-huh refer;accent mood;11049;5203
2;31692;ultimate hmph eminent;though save than;23636;neatly near;2024-07-23;3028;10102;less pace;8821;of as per;jolly very;2437;14033
3;11553;rudely painfully high-level;heron;19678;toward debar;2024-07-22;30114;31562;serpentine oof;20425;reaffirm;since;14341;29211
4;24650;quarterly ha woot;perky;7876;factor rename into;2024-07-22;13543;15485;vinyl interpenetrate;27889;torpedo seriously;throughout;23823;17703
5;20878;wastebasket chant;unto catalogue handicap;26297;happily because;2024-07-22;14652;3582;socialist irritating provided;26291;adorn;broadly;32098;8285
6;29429;opposite times terribly;noun consequently round;22987;dancer flaky record;2024-07-22;9185;9508;rent;21729;per barium whose;imaginary;22791;2082
7;28887;chemical mile;gosh;5153;eager boohoo;2024-07-22;23043;25056;macaw elated untimely;15757;angrily brisket;infect of;29164;17212
8;3405;stump zowie;closely until because;22605;and chop;2024-07-22;3453;5846;evergreen mockingly gadzooks;895;careless especially;convection foolishly as;31964;263
9;15725;gland however;eek;16596;presuppose wick;2024-07-22;10404;27253;sell gosh naturally;14971;below dimpled while;um diaphragm;16578;14840
10;8621;puzzled;brocolli safely damaged;2368;jaunty while slaw;2024-07-22;5858;7910;finally;30722;unimpressively;of;8314;28700
