id;id_duong_su;ten_duong_su;id_loai_ds;dia_chi;trang_thai;thong_tin_ds;ngay_thao_tac;nguoi_thao_tac;id_ds_goc;id_tinh_trang;id_master;id_don_vi;str_search;so_giay_to;id_duong_su_min;id_master_min;id_duong_su_max;id_master_max
1;1406;propane;21066;aboard;22585;acquiesce;2024-07-22;9477;22550;10616;ew ew upset;1367;espalier except;er snooper oh;23196;11221;1724;31769
2;19906;bootie;9527;purple fooey;4984;drat inwardly inasmuch;2024-07-22;3676;22579;8201;position solemnly;7837;when size;whenever;17717;24566;2452;8779
3;2366;jicama deer;29937;given;23018;even;2024-07-22;22606;23198;4684;alongside;1449;toward;concuss helplessly;12518;9929;5043;27278
4;21669;highly;20928;dinosaur whoa unnecessarily;24047;boohoo inside uncommon;2024-07-22;31163;11430;18234;while;14220;pfft mmm;gee;9849;25797;4693;10687
5;3645;even lipid;18587;euphoric hm surprisingly;12261;blissfully nice into;2024-07-22;5266;7428;17188;loyally adept yippee;8540;oof gosh;recklessly with;3615;397;10035;15027
6;17591;drat yuck;626;engrave;25967;putrid meanwhile desecrate;2024-07-22;16507;17276;13058;against aw;16909;scarily aw swish;frail filter;23530;22145;21216;28192
7;28326;hastily point camel;9064;by plagiarism;18863;separate;2024-07-22;20390;2532;1241;rejoin aw nifty;23250;considering;cheerfully pungent;6850;30913;8679;16290
8;18605;scrawny;9496;until;26494;psst ugh;2024-07-23;2192;32740;24700;out yippee;27685;gee cannon;onto slowly;9373;8712;27269;16
9;193;frightfully;10266;gah botch wry;21267;flan athwart;2024-07-22;28287;21063;1808;provided bare;11628;as;collar;10538;27952;24156;15160
10;28004;fir mesmerise searchingly;28165;average;23029;pasture moo;2024-07-22;5323;24764;26673;centurion;10493;because eggnog toward;question nightlife;16781;843;9470;4697
